day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/6/7,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2020/6/8,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0
2020/6/9,5.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0
2020/6/10,1.0,2.0,3.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,4.0,1.0
2020/6/11,1.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020/6/12,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,5.0,0.0,25.0
2020/6/13,4.0,0.0,3.0,2.0,4.0,12.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0
2020/6/14,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
2020/6/15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020/6/16,0.0,0.0,0.0,0.0,5.0,8.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
2020/6/17,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2020/6/18,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,7.0,28.0
2020/6/19,0.0,0.0,0.0,2.0,0.0,12.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0
2020/6/20,1.0,0.0,0.0,1.0,1.0,15.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2020/6/21,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,17.0,5.0,22.0
2020/6/22,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0
2020/6/23,2.0,1.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0
2020/6/24,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0
2020/6/25,0.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
2020/6/26,1.0,0.0,3.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0
2020/6/27,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020/6/28,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020/6/29,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2020/6/30,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0
2020/7/1,2.0,3.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2020/7/2,3.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0
2020/7/3,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
2020/7/4,1.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
2020/7/5,0.0,0.0,4.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
2020/7/6,3.0,6.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0
2020/7/7,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
2020/7/8,0.0,5.0,4.0,4.0,3.0,2.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0
2020/7/9,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2020/7/10,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,5.0,1.0,4.0
2020/7/11,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
2020/7/12,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2020/7/13,0.0,3.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2020/7/14,3.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0
2020/7/15,0.0,0.0,4.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2020/7/16,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/7/17,1.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0
2020/7/18,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2020/7/19,2.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0
2020/7/20,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
2020/7/21,1.0,1.0,5.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0
2020/7/22,4.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0,3.0,0.0
2020/7/23,0.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0
